"","x","predicted","conf.low","conf.high","group","var"
"1","Pre-Corona",19.9757944067378,19.8368087724026,20.114780041073,"1","PM25"
"2","First case",23.7580960648263,22.8366575931309,24.6795345365216,"1","PM25"
"3","Entry/Restaurants",12.49595102578,10.658765020531,14.3331370310289,"1","PM25"
"4","Emergency",12.1155155781904,10.2945643551607,13.9364668012201,"1","PM25"
