"","x","predicted","conf.low","conf.high","group","var"
"1","Pre-Corona",31.2336461890522,31.0873449822829,31.3799473958215,"1","NO2"
"2","First case",35.694585198626,34.7480023090443,36.6411680882077,"1","NO2"
"3","Entry/Restaurants",33.4257050691037,31.4959480612949,35.3554620769125,"1","NO2"
"4","Emergency",22.6570466019019,20.7441386224311,24.5699545813727,"1","NO2"
