"","x","predicted","conf.low","conf.high","group","var"
"1","Pre-Corona",0.796556141375849,0.790716723183054,0.802395559568643,"1","CO"
"2","First case",0.888850176072717,0.850979877079937,0.926720475065497,"1","CO"
"3","Entry/Restaurants",0.913435379086335,0.836789698329346,0.990081059843325,"1","CO"
"4","Emergency",0.649565120505974,0.573601760815473,0.725528480196475,"1","CO"
