"","x","predicted","conf.low","conf.high","group","var"
"1","Pre-Corona",41.0661930803795,40.8203741019178,41.3120120588412,"1","PM10"
"2","First case",51.9153578909745,50.2769388057135,53.5537769762356,"1","PM10"
"3","Entry/Restaurants",23.4983686980727,20.2487128007596,26.7480245953859,"1","PM10"
"4","Emergency",22.8089824459096,19.5830172560945,26.0349476357247,"1","PM10"
