"","x","predicted","conf.low","conf.high","group","var"
"1","Pre-Corona",11.337251222404,11.0382167027282,11.6362857420799,"1","SO2"
"2","First case",11.4712832443629,9.52582166020622,13.4167448285195,"1","SO2"
"3","Entry/Restaurants",11.4599733669776,7.53673871584362,15.3832080181115,"1","SO2"
"4","Emergency",10.2972487838473,6.39959339002173,14.1949041776728,"1","SO2"
